ATT,DJIA,GM,IBM,INT1M,ratt,rdj,rgm,ribm,pratt,prdj,prgm,pribm
28.62,5582.6,43.56,26.91,4.72,0.01453385,0.01168147,-0.00683995,0.0120346,0.01440274,0.01168107,-0.00684027,0.01203479
28.96,5624.71,43.47,27.16,4.72,0.0118798,0.00754308,-0.00206612,0.00929023,0.01174869,0.00754275,-0.00206633,0.00929028
29.37,5625.44,42.78,27.25,4.71,0.01415746,0.00012978,-0.01587302,0.0033137,0.01402663,0.00012939,-0.01587302,0.00331414
28.79,5635.05,42.69,27.16,4.71,-0.01974804,0.00170831,-0.00210379,-0.00330275,-0.01987888,0.00170886,-0.00210383,-0.00330269
28.27,5687.5,42.3,27.72,4.71,-0.01806183,0.00930781,-0.00913563,0.02061856,-0.01819266,0.00930832,-0.00913589,0.02061881
28.79,5748.82,42.49,28.03,4.71,0.01839406,0.01078154,0.00449173,0.01118326,0.01826322,0.01078103,0.00449143,0.01118314
28.85,5736.26,42.59,27.75,4.69,0.00208406,-0.0021848,0.0023535,-0.0099893,0.00195378,-0.00218485,0.00235356,-0.00998936
29.02,5778,42.59,27.59,4.69,0.00589255,0.00727652,0,-0.00576577,0.00576227,0.00727635,-0.0000002,-0.00576577
28.79,5762.12,42.39,27.31,4.69,-0.00792557,-0.00274836,-0.00469594,-0.01014861,-0.00805585,-0.00274814,-0.00469586,-0.01014847
29.02,5762.86,42.1,27.19,4.69,0.00798889,0.00012843,-0.00684124,-0.004394,0.00785861,0.0001282,-0.00684124,-0.00439381
29.02,5762.86,42,27.19,4.69,0,0,-0.0023753,0,-0.00013028,0,-0.0023753,0.00000007
29.43,5709.67,41.71,27.06,4.68,0.01412819,-0.00922979,-0.00690476,-0.00478117,0.01399819,-0.00923019,-0.00690451,-0.00478098
29.6,5673.83,41.22,26.72,4.68,0.00577642,-0.00627707,-0.01174778,-0.01256467,0.00564642,-0.00627723,-0.01174761,-0.01256435
29.02,5693.41,41.42,26.81,4.67,-0.0195946,0.00345093,0.00485201,0.00336826,-0.01972432,0.00345148,0.00485192,0.00336813
28.79,5643.18,42.69,26.69,4.67,-0.00792557,-0.00882248,0.03066152,-0.00447594,-0.00805529,-0.00882226,0.03066176,-0.00447679
28.44,5624.71,42.98,26.34,4.68,-0.012157,-0.00327298,0.00679316,-0.01311353,-0.012287,-0.00327264,0.00679325,-0.01311371
28.21,5665.71,43.27,26.47,4.68,-0.0080872,0.00728927,0.00674732,0.00493546,-0.0082172,0.00728949,0.00674712,0.00493527
28.62,5697.48,43.76,26.22,4.68,0.01453385,0.00560742,0.01132424,-0.00944465,0.01440385,0.00560701,0.01132409,-0.00944497
28.27,5667.19,44.15,25.31,4.68,-0.01222921,-0.00531639,0.00891225,-0.03470633,-0.01235921,-0.00531605,0.0089124,-0.03470658
28.27,5697.11,44.05,25.44,4.68,0,0.00527951,-0.00226501,0.00513631,-0.00013,0.00527951,-0.00226515,0.00513637
28.44,5687.87,43.95,25.66,4.68,0.00601344,-0.00162188,-0.00227015,0.0086478,0.00588344,-0.00162204,-0.0022701,0.00864786
28.56,5668.66,43.76,25.78,4.69,0.00421941,-0.00337736,-0.00432309,0.00467654,0.00408913,-0.00337748,-0.004323,0.00467666
28.39,5668.29,43.08,25.75,4.68,-0.00595238,-0.0000653,-0.01553931,-0.00116369,-0.00608238,-0.0000651,-0.0155393,-0.00116326
28.44,5657.95,43.08,25.81,4.69,0.00176118,-0.00182418,0,0.0023301,0.00163091,-0.00182423,0.00000005,0.0023301
28.96,5649.45,43.76,25.41,4.7,0.01828411,-0.00150231,0.01578459,-0.01549787,0.01815355,-0.00150282,0.01578463,-0.01549831
29.19,5652.78,43.08,25.62,4.69,0.00794199,0.00058944,-0.01553931,0.00826446,0.00781171,0.00058922,-0.01553932,0.00826489
29.14,5628.03,43.27,25.31,4.69,-0.00171292,-0.00437838,0.0044104,-0.01209992,-0.00184319,-0.00437833,0.00441052,-0.01210004
28.39,5648.35,42.98,25.53,4.69,-0.02573782,0.0036105,-0.0067021,0.00869222,-0.0258681,0.00361122,-0.0067022,0.0086924
28.62,5659.43,43.76,25.19,4.7,0.00810144,0.00196164,0.01814798,-0.01331767,0.00797089,0.00196141,0.01814792,-0.01331817
29.02,5705.23,43.95,24.66,4.72,0.01397624,0.00809269,0.00434187,-0.0210401,0.01384513,0.0080923,0.00434164,-0.02104022
28.96,5717.79,44.34,24.91,4.73,-0.00206754,0.00220149,0.00887372,0.01013788,-0.00219893,0.00220155,0.00887366,0.01013763
28.68,5719.27,43.86,24.94,4.73,-0.00966851,0.00025884,-0.01082544,0.00120434,-0.0097999,0.00025911,-0.01082545,0.00120464
28.44,5682.7,43.17,24.66,4.73,-0.0083682,-0.00639417,-0.01573187,-0.01122695,-0.00849959,-0.00639394,-0.0157317,-0.01122651
28.62,5677.53,43.37,24.72,4.75,0.00632911,-0.00090978,0.00463285,0.00243309,0.00619717,-0.00090996,0.00463287,0.00243296
28.62,5654.63,43.37,24.75,4.75,0,-0.00403344,0,0.00121359,-0.00013194,-0.00403344,0.00000011,0.00121359
28.62,5729.98,43.95,25.37,4.75,0,0.01332536,0.0133733,0.02505051,-0.00013194,0.01332536,0.01337293,0.02505013
28.33,5720.38,43.66,25,4.75,-0.01013277,-0.0016754,-0.00659841,-0.01458416,-0.01026472,-0.00167512,-0.00659836,-0.01458397
28.16,5703.02,43.47,24.62,4.74,-0.00600071,-0.00303476,-0.00435181,-0.0152,-0.00613237,-0.0030346,-0.00435173,-0.01519988
28.16,5703.02,43.37,24.62,4.74,0,0,-0.00230044,0,-0.00013167,0,-0.00230044,0.00000006
27.69,5588.14,43.08,24.47,4.74,-0.01669034,-0.02014371,-0.00668665,-0.00609261,-0.01682201,-0.02014325,-0.00668609,-0.00609242
27.52,5550.83,42.98,24.59,4.75,-0.0061394,-0.00667664,-0.00232126,0.00490396,-0.00627135,-0.00667647,-0.00232108,0.00490403
